input_index,input_x1,input_y1,input_theta0,input_theta1,output_v0,output_delta0
0,-0.0999999999999998,0.15,1.5707963267948966,1.5707963267948966,0.153958,-0.1829704
1,-0.10080008109298687,0.2273285154273893,1.479311124482427,1.5868534128998673,0.005569525,0.29895723
5,-0.10440380522604047,0.1852200352215712,1.989640005924974,1.3702767137684957,0.1420758,0.113672644
6,-0.09564570768273267,0.24678562484802277,2.0464763278749327,1.4860291813458057,0.16152704,0.08003396
7,-0.09406883226609321,0.3188541479841282,2.0864933068540434,1.6077011653945747,0.19831078,0.013865374
8,-0.10368718666492385,0.4092874037461168,2.093425993868385,1.7383962028048254,0.19536765,-0.108164
9,-0.12427812349895388,0.49947956489662954,2.039343995102916,1.843008212248684,0.18933083,-0.18648037
10,-0.1525870146228758,0.587966665284334,1.9461038085308413,1.9092420406309285,0.20637907,-0.19285248
11,-0.18835522881867464,0.6849231468095961,1.8496775674310069,1.9323103569549258,0.2078038,-0.17796491
12,-0.22478486942960288,0.7825299385678499,1.7606951119985919,1.9193190076665374,0.20441659,-0.13043459
13,-0.25783200383957866,0.8788083392575035,1.6954778181996684,1.881971105249666,0.20137757,-0.07758574
14,-0.28605689487301866,0.9744533681886729,1.6566849472608904,1.8340485181697357,0.20001853,-0.042134725
15,-0.3094801826807748,1.0706489123157694,1.6356175849821906,1.7867133508455288,0.20005137,-0.024503976
16,-0.32866979204559366,1.1680356734578987,1.6233655969288687,1.745598752152761,0.20231406,-0.01666189
17,-0.34442195441567397,1.2674374821041587,1.615034652003322,1.7117576340492175,0.20260933,-0.055739745
18,-0.35743026189554733,1.3676804252292503,1.5871647792544703,1.6877128465144087,0.19282328,-0.12206367
19,-0.36787026960168084,1.4635392520124018,1.5261329459634165,1.6685954741011757,0.15046076,-0.06962454
20,-0.37425526437051165,1.538190354600954,1.4913206743684153,1.6432465884794978,0.13302104,-0.06445467
21,-0.3782685745831385,1.6042686145271245,1.4590933407333235,1.6193584038721782,0.14575975,-0.11056335
22,-0.38095539191069977,1.6769340577750524,1.4038116643812995,1.59489442233602,0.1710085,-0.14068475
23,-0.38153608575854603,1.7620267013496682,1.3334692875531058,1.5587075454750903,0.18398193,-0.10001689
24,-0.3780775077224573,1.852750591267294,1.2834608415749411,1.5067776072375798,0.17136872,-0.0793899
25,-0.370589379460957,1.936917603306096,1.2437658915903906,1.4577959312607813,0.19032611,-0.0029666722
26,-0.3572244094013956,2.029508468738953,1.242282555499349,1.4001057333357145,0.17770012,0.19588085
27,-0.33960096200420953,2.1154493770921414,1.3402229780938963,1.3447051649003123,-0.13050531,0.18798494
28,-0.3552976891255151,2.0529071167122526,1.4342154497888426,1.29990100342955,-0.12203024,0.12444179
29,-0.3725383709639128,1.9968567819959493,1.4964363435891013,1.240548881873866,-0.09526667,0.10753078
30,-0.3879613798680712,1.9560732486305317,1.5502017336573939,1.174448378668247,-0.066746816,-0.012351289
31,-0.4005247642358504,1.9276613762344912,1.544026088961635,1.133780454589896,-0.099453494,-0.08046265
32,-0.42160659702568726,1.8855630420718092,1.5037947642293314,1.0788442032090535,-0.17231669,-0.2120357
33,-0.4639203257086928,1.8140229329712083,1.3977769138899188,0.9956507777544017,-0.16086884,-0.40036577
34,-0.5098015427621084,1.745387159388139,1.1975940289583544,0.9757469117186741,-0.1937295,-0.14615406
35,-0.5655257835478352,1.6668694831658721,1.1245169984784464,0.9330816418222313,-0.17647938,-0.19118914
36,-0.6189097166059837,1.5961039672095254,1.0289224284377436,0.919982677644495,-0.18215884,-0.07023872
37,-0.6747359296189,1.524284027084482,0.9938030699875693,0.9009227978218607,-0.18405469,-0.09470819
47,-1.0300980973526561,0.8089729512911402,1.271330420919929,1.372512556180749,-0.014265697,0.21389395
0,-0.0999999999999998,0.1722222222222222,1.5707963267948966,1.5707963267948966,0.120832875,-0.15637697
1,-0.10058902283735059,0.2329220213184323,1.4926078403976302,1.5870008018797956,7.938221e-05,0.2703216
2,-0.10058001219327753,0.2329033320332383,1.627768644192491,1.5420079675139493,-0.059151363,0.24091452
6,-0.09595049487140028,0.24439695679108675,2.0446227798846106,1.481689979036632,0.15889853,0.08097135
7,-0.09403582600264762,0.31521471864880274,2.0851084562626223,1.6018920954019786,0.19832338,0.019360919
8,-0.1031514810004205,0.4056035334752324,2.094788915538464,1.7334100688956355,0.19580026,-0.10300067
9,-0.12337196454681185,0.4959404970494628,2.0432885802027325,1.8395254346807985,0.18850157,-0.18853411
10,-0.15130162320661272,0.5839751411714537,1.9490215248104672,1.9077487460265528,0.20589566,-0.19157991
11,-0.18689089937593067,0.6807065277616974,1.8532315707441906,1.9320387229059846,0.2078114,-0.17983153
12,-0.22336882320322207,0.7783205825413071,1.7633158034321408,1.9202845736952785,0.20450193,-0.13185674
13,-0.2565598586656427,0.8746183792073123,1.6973874336716275,1.8834821389465328,0.20141667,-0.07877047
14,-0.2849484202554119,0.9702461795603957,1.6580021968719105,1.8357390815940007,0.20006795,-0.043198198
15,-0.30853912645706477,1.0664257193161257,1.636403097831879,1.788357608322008,0.20002876,-0.024850585
16,-0.32787452596715094,1.1637639867222294,1.6239778055485825,1.747028400478119,0.20221995,-0.017013103
17,-0.3437506530650736,1.2630922570364236,1.6154712541636567,1.712991784950442,0.20275101,-0.052971594
18,-0.3568635894960065,1.3633800404821803,1.588985457145844,1.6885183933086296,0.19330068,-0.122008696
19,-0.36741709327412553,1.459469719333944,1.5279811090466122,1.669592907670503,0.15238142,-0.07093319
20,-0.37395648895500144,1.5350748735566675,1.492514512562428,1.644132665327901,0.13280797,-0.06282744
21,-0.37801882665789804,1.6010374923908341,1.4611007935043911,1.6201979026628912,0.14347391,-0.10491437
22,-0.3807305129215737,1.672545146966409,1.408643609904919,1.5960651045791987,0.1689418,-0.13986714
23,-0.3814654197210478,1.7566503617684883,1.338710038983498,1.561334796119947,0.18388732,-0.10572794
24,-0.378304558268492,1.8474109399029761,1.2858460685845952,1.5105267509888154,0.17341554,-0.078618795
25,-0.3710012842470883,1.9325787888241008,1.2465366712447743,1.4605051360138694,0.18941231,-0.011347987
26,-0.3579973015149738,2.02480335736507,1.2408626778658967,1.4036606353811933,0.17887995,0.17498124
27,-0.34060936762851335,2.1113127879841262,1.328353296094809,1.3484664209954262,-0.10126728,0.20523174
28,-0.35256818623717207,2.0627605383326006,1.4309691666301827,1.305822778302761,-0.1320748,0.103193834
29,-0.3709326154518901,2.0013885851142335,1.4825660838421921,1.2501916342874462,-0.094988555,0.12409264
30,-0.38595100902681967,1.9604495963015849,1.5446124030884842,1.1844609050519663,-0.069857344,0.002886355
31,-0.39877947391765045,1.9307557336570091,1.5460555805501084,1.1405720080346113,-0.091515064,-0.06827436
32,-0.4178100948220753,1.8919007207136098,1.5119184023377041,1.0896826399204036,-0.1636767,-0.18471284
33,-0.45700670386819153,1.823851267190083,1.4195619812842946,1.007209961259265,-0.1624786,-0.38645476
35,-0.5579362402777109,1.6758830537791354,1.1354117384788136,0.9376703074563681,-0.17667012,-0.19325897
36,-0.6111026005810921,1.6048504541615516,1.0387822529908757,0.9229099841218515,-0.17995912,-0.076079786
37,-0.6660651742300234,1.5337489213568674,1.0007423600789647,0.903476330437091,-0.1830918,-0.08807644
38,-0.7231776121140248,1.4621378821786102,0.956704138838921,0.8933678984670479,-0.18786334,-0.13550672
39,-0.7817282633260928,1.3885489269924516,0.8889507791635136,0.908394638427721,-0.18893807,-0.15412684
40,-0.8375846701660847,1.3135956469465948,0.8118873602387051,0.9591411226701101,-0.13206655,-0.06263324
41,-0.8732175251235631,1.2601028388528766,0.7805707408722977,1.0103100370159581,-0.14215752,-0.019585095
42,-0.9077035999832798,1.2011543112265384,0.7707781931993107,1.075705599561994,-0.16460754,0.048218332
47,-1.0293848545793394,0.809900644834782,1.2531550778683762,1.379599423510343,-0.0007528551,0.24328835
0,-0.0999999999999998,0.1944444444444444,1.5707963267948966,1.5707963267948966,0.09247412,-0.13290489
1,-0.10041303547978436,0.24090488293038684,1.5043438831951956,1.5864356365090029,-0.0069762804,0.24618581
6,-0.09610331555457509,0.24517980341670703,2.0443061413851122,1.479290835779719,0.15758383,0.08192419
7,-0.0940134549994523,0.31535241235510125,2.0852682376888136,1.598887747628596,0.19806764,0.02214789
8,-0.10285799782785114,0.4055641234665895,2.0963421827789883,1.7309103082162072,0.1959737,-0.100798145
9,-0.12289411596313028,0.49592330973394894,2.0459431103107075,1.8380218360283989,0.18811633,-0.19101597
10,-0.15066928600156243,0.5837247588471409,1.9504351234671216,1.9074615263104258,0.20566662,-0.1915655
11,-0.18621267818148354,0.6803391059784648,1.8546523741122822,1.932252916849804,0.20781294,-0.18089879
12,-0.2227378489718989,0.7779450577902624,1.7642029813167195,1.9209189284610315,0.20455176,-0.13259503
13,-0.2560065163175931,0.8742486463378947,1.697905465089951,1.8842238140869514,0.20143773,-0.079246625
14,-0.2844675605618516,0.9698652691729263,1.65828215243784,1.8364429449787971,0.20006725,-0.043124184
15,-0.3081181642995042,1.0660240640073857,1.6367200604316334,1.7889375727118746,0.20003416,-0.024925336
16,-0.32750652501989747,1.1633518989344394,1.6242573923107724,1.7475381990086198,0.20220716,-0.017141812
17,-0.3434292992991714,1.2626645335763582,1.6156864865359406,1.7134464044054565,0.20274568,-0.05304747
18,-0.3565840924834656,1.3629428451494787,1.5891627511617283,1.6889101960650539,0.19333266,-0.12185192
19,-0.36717279350640947,1.4590429352052467,1.5282367906209569,1.6699092348048803,0.15262234,-0.07121925
20,-0.373745170222454,1.5347660487770423,1.4926271653410534,1.6444084345377097,0.13283478,-0.062792785
21,-0.3778249903985735,1.600739629350208,1.4612307726081948,1.6204318544669973,0.14327186,-0.10435586
22,-0.38054821333128913,1.6721428768359037,1.409052844220076,1.5962781868266733,0.16879998,-0.13989045
23,-0.38130444966507343,1.7561802135742486,1.3391076205906014,1.561639930900426,0.18396755,-0.10609098
24,-0.37817140395999677,1.8469846834967045,1.2860621316966157,1.5108564354292724,0.17379507,-0.078418866
25,-0.3708730524933534,1.9323369555783307,1.2468526987966637,1.4606718726427954,0.18943563,-0.011741713
26,-0.357885747902693,2.024579503481713,1.2409818424519639,1.4038888022582077,0.178963,0.17448184
27,-0.34051014447853406,2.1111320419583754,1.328222761922751,1.3486949015779601,-0.10009809,0.2063009
28,-0.35232023822379455,2.0631465212323308,1.4313732116159539,1.3059786539978426,-0.13256212,0.10182434
29,-0.37074513717292906,2.0015268767048724,1.482285383218203,1.2504596658730505,-0.0949799,0.12470916
30,-0.3857511471930629,1.9605894931052006,1.5446399627861123,1.184690237159413,-0.069952294,0.0032060035
31,-0.3985896567052232,1.9308574703112948,1.5462429645147662,1.1407009568600655,-0.090894416,-0.06772554
32,-0.4174790523270297,1.8922624400998864,1.512380194911037,1.0901387412905243,-0.16264573,-0.18294854
33,-0.45637567789191363,1.8246320353212948,1.4209059226003031,1.0080281390407628,-0.16249628,-0.3852237
34,-0.5018956196306316,1.7552610739021366,1.2282940792527537,0.979801008723966,-0.19261928,-0.18501744
35,-0.5570942808357382,1.6767934076179223,1.1357853608813624,0.9384758024878379,-0.17670682,-0.19099197
36,-0.6102174775566598,1.605729051445278,1.040289376923118,0.9232332343539588,-0.17956802,-0.0774526
37,-0.6650392183704283,1.5347613448757915,1.0015630769219737,0.9038474043116205,-0.18289697,-0.08752678
38,-0.7220709148693893,1.46321561155278,0.9577996852484087,0.8934564527229156,-0.18749332,-0.13488583
39,-0.7805210956228238,1.3897752934301464,0.8903567689147334,0.9079568696058555,-0.18879193,-0.15442507
40,-0.8364068725249957,1.3148963949966128,0.813144234069858,0.9580916220723017,-0.13223149,-0.062017605
47,-1.0293795518248958,0.8097990953097921,1.2482718239214758,1.3807582113656944,0.0031805858,0.25008383
